Buurten,Aantal inwoners per 1-1|2023,0 t/m 4 jaar|2023,5 t/m 14 jaar|2023,15 t/m 19 jaar|2023,20 t/m 44 jaar|2023,45 t/m 64 jaar|2023,65 t/m 79 jaar|2023,80 jaar en ouder|2023,% Nederlands|2023,% Turks|2023,% Marokkaans|2023,% Surinaams|2023,% Antilliaans|2023,% Overig niet-westers|2023,% Westers|2023
112 Morgenweide,7140.0,413.0,1016.0,587.0,2303.0,2167.0,570.0,84.0,48.1,5.5,5.8,10.5,2.5,14.5,13.1
113 Singels,5504.0,273.0,698.0,420.0,1625.0,1814.0,580.0,94.0,50.0,4.0,2.7,12.3,2.1,14.6,14.4
114 Waterbuurt,4721.0,236.0,633.0,399.0,1538.0,1471.0,384.0,60.0,50.7,5.5,4.6,11.9,2.7,11.5,13.2
115 De Bras,5706.0,222.0,967.0,680.0,1332.0,2158.0,308.0,39.0,67.0,3.0,3.3,6.0,1.2,7.0,12.4
116 Vlietzoom-Oost,102.0,,6.0,,24.0,33.0,29.0,5.0,75.5,,,,,,20.6
117 De Rivieren,24.0,,,,5.0,13.0,,,100.0,,,,,,
118 De Lanen,5368.0,272.0,973.0,500.0,1655.0,1657.0,276.0,35.0,49.6,4.2,4.2,11.6,2.9,16.0,11.5
119 De Velden,4162.0,145.0,528.0,344.0,1148.0,1427.0,491.0,79.0,55.0,4.0,4.6,10.3,1.1,14.6,10.4
120 De Vissen,8346.0,350.0,998.0,704.0,2077.0,2929.0,998.0,290.0,58.3,2.6,4.0,11.5,1.7,10.7,11.2
121 Rietbuurt,2758.0,145.0,660.0,184.0,873.0,742.0,137.0,17.0,47.7,4.6,7.7,10.8,1.9,15.4,11.8
